,number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,10,0.7871826351347829,1.3722111769966432,2026-01-02 00:08:55.287091,2026-01-02 00:10:08.048131,0 days 00:01:12.761040,0.8022204554172194,0.19971689165954998,0.08710745900492396,8,8,2,547,2.359331645804633e-05,2.8965395242758646e-06,0.7436340230624704,COMPLETE
11,11,0.7946211940842897,3.5638633250018756,2026-01-02 00:10:08.049237,2026-01-02 00:12:41.669559,0 days 00:02:33.620322,0.5746280235544143,0.44858423607508713,0.017303875834205888,6,12,3,934,0.22664909586669285,0.0017220805097801957,0.88128522691469,COMPLETE
12,12,0.7852079573371493,3.0420663680015423,2026-01-02 00:12:41.670731,2026-01-02 00:15:33.776440,0 days 00:02:52.105709,0.8442922333025373,0.27084311545050255,0.21068591627429098,2,8,0,1711,1.1008110571039529e-06,0.0011600689839007146,0.8863051680728726,COMPLETE
13,13,0.7758628588708302,2.360443249999662,2026-01-02 00:15:33.777825,2026-01-02 00:17:35.410034,0 days 00:02:01.632209,0.7812075835580712,0.2292811728083021,0.0212853192163843,8,6,1,1126,0.00015197691143574405,0.6771618710774371,0.7815767176101781,COMPLETE
14,14,0.7886181740541099,5.828029242999037,2026-01-02 00:17:35.411145,2026-01-02 00:22:06.264649,0 days 00:04:30.853504,0.7010716092915446,0.11475477894181313,0.023545774516299134,3,9,1,1944,2.0364441666532183e-06,4.6976297622476894e-05,0.8133475168929638,COMPLETE
15,15,0.7894970187959542,4.423372555000242,2026-01-02 00:22:06.265733,2026-01-02 00:25:40.528767,0 days 00:03:34.263034,0.804647846131487,0.19682210860460017,0.022587177280197233,8,7,1,1863,2.6657858841301888e-05,0.023404431241892634,0.8352474415920574,COMPLETE
16,16,0.7821005840430588,2.9401478760009923,2026-01-02 00:25:40.529904,2026-01-02 00:28:01.053507,0 days 00:02:20.523603,0.5746074041599417,0.43412099823569517,0.08589984533104164,1,10,2,1052,1.7565109007473829e-06,0.0035104085133019127,0.7122730227401075,COMPLETE
17,17,0.7891875841542888,4.648508610996942,2026-01-02 00:28:01.054718,2026-01-02 00:31:24.382510,0 days 00:03:23.327792,0.654694138520215,0.16974657160199658,0.01058040360169664,6,9,0,1517,0.41723423151504463,6.685373335828942e-06,0.841828208335863,COMPLETE
18,18,0.7918843877174915,3.8400085950015637,2026-01-02 00:31:24.383629,2026-01-02 00:34:10.650364,0 days 00:02:46.266735,0.7220803246397849,0.3639936184136716,0.01471005003927122,3,12,3,1011,0.0015062722325200053,2.8256199318003937e-05,0.8860277700704255,COMPLETE
19,19,0.7826048178753021,1.8009707589990285,2026-01-02 00:34:10.651604,2026-01-02 00:35:38.331033,0 days 00:01:27.679429,0.8588441039810308,0.23968382984506437,0.21149322814164553,3,12,2,639,0.21014475048247208,0.047780784401828445,0.8540844876045837,COMPLETE
20,20,0.772964200602877,3.7407591230003163,2026-01-02 00:35:38.332174,2026-01-02 00:38:30.579154,0 days 00:02:52.246980,0.7654007076432223,0.10367882064665186,0.013313275850595153,5,7,3,1463,1.0724313549547564e-06,9.22249245300467e-06,0.6355150400031112,COMPLETE
21,21,0.7778364411195281,3.5606993850014987,2026-01-02 00:38:30.580262,2026-01-02 00:41:27.100538,0 days 00:02:56.520276,0.7985965620472097,0.19489963499872004,0.10519936117151477,6,10,0,1323,0.007903098490824658,0.1245490625234522,0.7138898943557437,COMPLETE
22,22,0.7882184088069231,2.514773206999962,2026-01-02 00:41:27.101605,2026-01-02 00:43:56.213520,0 days 00:02:29.111915,0.6572390898667042,0.19759585735163343,0.06909724267901692,3,6,1,1487,0.22505016260408264,0.006121132154754234,0.9405536941633559,COMPLETE
23,23,0.7839028603632017,4.6433495140008745,2026-01-02 00:43:56.214641,2026-01-02 00:47:40.371263,0 days 00:03:44.156622,0.5097263865725815,0.38898084610460215,0.05526573288655769,2,10,1,1693,0.007461631126623751,1.155218343711812e-05,0.6982703268542995,COMPLETE
24,24,0.7785888206422806,4.443099195999821,2026-01-02 00:47:40.372414,2026-01-02 00:51:15.196795,0 days 00:03:34.824381,0.8866619276174679,0.4713274250350902,0.25648866468880704,1,12,1,1911,0.6049505313715201,0.13123713256562983,0.74986445191106,COMPLETE
25,25,0.7901077833533957,3.1860005060007097,2026-01-02 00:51:15.198073,2026-01-02 00:53:37.536711,0 days 00:02:22.338638,0.7784119186699892,0.32272050498334004,0.03705408044695723,2,11,1,941,0.002632491760411514,3.828767216055792e-06,0.9276541709562733,COMPLETE
26,26,0.7771746879494265,2.1217407949989138,2026-01-02 00:53:37.538023,2026-01-02 00:55:47.488902,0 days 00:02:09.950879,0.7809936335948438,0.39630744710168175,0.290021093247953,8,6,2,1423,0.00014353139548983513,5.7749877267890546e-05,0.8439555093483437,COMPLETE
27,27,0.7811224763709798,3.854098173997045,2026-01-02 00:55:47.490082,2026-01-02 00:58:55.075838,0 days 00:03:07.585756,0.7599855723111061,0.30060651787487985,0.1572663162015696,5,12,3,1714,0.016285506249643186,0.05953275989844317,0.8794033126383712,COMPLETE
28,28,0.7842581837329641,4.905777115000092,2026-01-02 00:58:55.076925,2026-01-02 01:02:51.777912,0 days 00:03:56.700987,0.7170578538830307,0.11437690951869683,0.03156892767756196,5,8,0,1835,5.238989315858799e-05,0.0035075152135021067,0.762959306346361,COMPLETE
29,29,0.7822947047049668,1.9598910489985428,2026-01-02 01:02:51.778970,2026-01-02 01:04:10.873586,0 days 00:01:19.094616,0.5863284109987372,0.3088973040219217,0.011354494477798304,2,11,1,545,0.00546188881173922,3.2515077235891685e-06,0.8694977435845137,COMPLETE
