,number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,10,0.7889186239463912,2.1054598040009296,2026-01-01 21:49:01.160674,2026-01-01 21:50:41.951114,0 days 00:01:40.790440,0.6301439991885139,0.31637756327021926,0.050022091577274753,1,8,2,811,0.48058615842587443,0.026942213191525503,0.9359197610808968,COMPLETE
11,11,0.7872610551078496,1.8082967989994359,2026-01-01 21:50:41.952258,2026-01-01 21:52:11.819421,0 days 00:01:29.867163,0.6289070602355855,0.32712057274552364,0.043266535056907085,1,7,3,778,0.20788194371241447,0.009013254953480357,0.9442527675765052,COMPLETE
12,12,0.7778579280515142,1.6364939249997406,2026-01-01 21:52:11.820539,2026-01-01 21:53:45.424329,0 days 00:01:33.603790,0.8984066126989743,0.49143854914976937,0.033586745215455335,4,6,3,864,4.2318270321091145e-05,3.9941568163274243e-05,0.7632497906004236,COMPLETE
13,13,0.78290007813701,1.2660170849994756,2026-01-01 21:53:45.425485,2026-01-01 21:54:47.104042,0 days 00:01:01.678557,0.766962701441005,0.35786947410723424,0.052303261928734246,1,7,1,509,0.0473171048083745,0.0046704415932402946,0.7844859382283369,COMPLETE
14,14,0.7656306339970373,1.719772202999593,2026-01-01 21:54:47.105064,2026-01-01 21:55:53.208747,0 days 00:01:06.103683,0.8178581456448356,0.25397964073378176,0.011311689080273567,1,9,1,556,0.037275927551366196,0.011328284817095597,0.8081340812240675,COMPLETE
15,15,0.7854045814743958,2.1672497969993856,2026-01-01 21:55:53.209913,2026-01-01 21:57:43.453796,0 days 00:01:50.243883,0.7693087163058641,0.10836542659336154,0.03778998292709828,1,7,0,947,0.058115344214624935,0.20754515051768707,0.9376658616231297,COMPLETE
16,16,0.7915649276853739,1.473275656999249,2026-01-01 21:57:43.454896,2026-01-01 21:58:52.866366,0 days 00:01:09.411470,0.7633146589292401,0.35752855136281353,0.085764440444325,2,9,1,500,0.9713445841438635,0.0058145881609435995,0.8834816632944525,COMPLETE
17,17,0.7850740159995953,3.290267041998959,2026-01-01 21:58:52.867486,2026-01-01 22:01:36.122492,0 days 00:02:43.255006,0.7624175337686147,0.2527976809829982,0.08185760635011964,2,9,1,1297,0.8210650857233072,0.001430139284897494,0.8430856548704175,COMPLETE
18,18,0.7813394860390402,2.8285708889998205,2026-01-01 22:01:36.123603,2026-01-01 22:04:29.388128,0 days 00:02:53.264525,0.8821287565771248,0.3634656599381763,0.07684007670476002,2,7,1,1586,0.017584407752396555,0.00307781519001476,0.7489493688654397,COMPLETE
19,19,0.784172728712884,2.239046545000747,2026-01-01 22:04:29.389340,2026-01-01 22:06:23.593639,0 days 00:01:54.204299,0.762896626555031,0.4524541612489592,0.18169268539628958,5,10,2,1166,3.440801470507238e-05,0.16372550746123044,0.8929520965496631,COMPLETE
20,20,0.7870591783304077,3.2406668130006437,2026-01-01 22:06:23.594791,2026-01-01 22:08:49.553904,0 days 00:02:25.959113,0.8044793283943926,0.3606426142688754,0.02838475194289539,8,10,0,975,0.11919300512084098,0.08166145718222884,0.8127754969724306,COMPLETE
21,21,0.7880043928823142,1.4298275189994456,2026-01-01 22:08:49.555108,2026-01-01 22:10:08.843900,0 days 00:01:19.288792,0.7279621902518962,0.37556756986864964,0.0624847313459998,3,7,1,662,0.0023563651990655392,0.0032630248839357057,0.7262255834448013,COMPLETE
22,22,0.7843496039707174,1.2098513250002725,2026-01-01 22:10:08.845014,2026-01-01 22:11:13.539468,0 days 00:01:04.694454,0.6634201178982685,0.27675538850536996,0.06549840491006559,1,7,1,527,0.012106246825197028,0.0002326476046803403,0.733699864126727,COMPLETE
23,23,0.784465803728142,1.6521600270007184,2026-01-01 22:11:13.542450,2026-01-01 22:12:40.433142,0 days 00:01:26.890692,0.6504492961920062,0.21550233357822135,0.07398863072683716,2,8,1,655,0.00046233364259645515,0.00020013307321305263,0.7299551831945241,COMPLETE
24,24,0.7812285637813684,1.7229624459996558,2026-01-01 22:12:40.434139,2026-01-01 22:14:09.827591,0 days 00:01:29.393452,0.5837387101680701,0.2728914761837381,0.11340401399483735,3,9,2,638,6.300416923303451e-06,0.00022989471587162567,0.6745981314726494,COMPLETE
25,25,0.7754825842853749,2.5367602209989855,2026-01-01 22:14:09.828994,2026-01-01 22:16:10.106758,0 days 00:02:00.277764,0.591825980675061,0.1936956300830487,0.065400094421746,1,10,0,772,2.065032499808979e-05,0.0015598802763566236,0.7442260039556432,COMPLETE
26,26,0.7805209274781819,1.913621976000286,2026-01-01 22:16:10.107847,2026-01-01 22:17:40.413036,0 days 00:01:30.305189,0.6755335726911263,0.1270807693319537,0.10878298176752685,6,12,1,502,0.007472624171953226,1.3635477287926992e-05,0.6802041496821104,COMPLETE
27,27,0.7722657110414202,1.3423540010007855,2026-01-01 22:17:40.414057,2026-01-01 22:18:55.388614,0 days 00:01:14.974557,0.5078073069352564,0.2879251704600137,0.16307464531159152,2,7,2,618,0.0006746368019902288,0.00018850350269740063,0.6011490394536133,COMPLETE
28,28,0.7793442960936454,1.8646621999996569,2026-01-01 22:18:55.389645,2026-01-01 22:20:44.366707,0 days 00:01:48.977062,0.7305669312789997,0.21651346593119647,0.19722507887832427,4,9,0,907,7.806326176503264e-05,3.3418103229581876e-05,0.8117513595576944,COMPLETE
29,29,0.7707567340538969,2.9344249780006066,2026-01-01 22:20:44.367841,2026-01-01 22:22:49.532344,0 days 00:02:05.164503,0.6192980757458413,0.25940445295448505,0.010900709612868568,2,8,1,1041,0.001487953186609775,0.025783483491905974,0.7272990248900677,COMPLETE
